State,EventNumber,StartTime_s,EndTime_s,Duration_s,PeakAbsoluteError,RequirementLimit,Result
y,1,5.788,5.788,0.0500000000000007,0.00550347563873266,0.005,PERMITTED
y,2,5.889,5.889,0.0500000000000007,0.00860244678206634,0.005,PERMITTED
y,3,7.147,7.147,0.0500000000000007,0.00550935138002195,0.005,PERMITTED
y,4,7.247,7.247,0.0500000000000007,0.00577301433863942,0.005,PERMITTED
y,5,8.907,8.907,0.0500000000000007,0.00773144775069368,0.005,PERMITTED
y,6,9.662,9.662,0.0500000000000007,0.00516446265750137,0.005,PERMITTED
y,7,24.208,24.208,0.0500000000000007,0.00564486571166278,0.005,PERMITTED
y,8,24.409,24.409,0.0500000000000007,0.00557664958603221,0.005,PERMITTED
y,9,25.465,25.566,0.151,0.00664205424608655,0.005,PERMITTED
z,1,5.083,5.083,0.0500000000000007,0.00571278393925617,0.005,PERMITTED
z,2,5.889,5.889,0.0500000000000007,0.00502575744129596,0.005,PERMITTED
z,3,6.09,6.09,0.0500000000000007,0.00536711467422635,0.005,PERMITTED
z,4,7.247,7.247,0.0500000000000007,0.00528849360686534,0.005,PERMITTED
z,5,7.448,7.448,0.0500000000000007,0.00594644060647886,0.005,PERMITTED
z,6,8.907,8.907,0.0500000000000007,0.00672410216372521,0.005,PERMITTED
z,7,25.264,25.515,0.301000000000002,0.0100243251792061,0.005,PERMITTED
roll,1,0.956,1.006,0.100000000000001,0.285253795768682,0.2,PERMITTED
roll,2,1.257,1.257,0.0500000000000007,0.390272648319183,0.2,PERMITTED
roll,3,1.56,1.56,0.0500000000000007,0.260750824207406,0.2,PERMITTED
roll,4,2.265,2.265,0.0500000000000007,0.201581956006009,0.2,PERMITTED
roll,5,2.416,2.416,0.0500000000000007,0.28176829023576,0.2,PERMITTED
roll,6,2.567,2.567,0.0500000000000007,0.240479450795561,0.2,PERMITTED
roll,7,6.09,6.09,0.0500000000000007,0.202430560058474,0.2,PERMITTED
roll,8,25.213,25.264,0.100999999999999,0.683894847248752,0.2,PERMITTED
roll,9,25.364,25.414,0.100000000000001,0.848438133748033,0.2,PERMITTED
pitch,1,0.453,0.503,0.100000000000001,0.270371663160887,0.2,PERMITTED
pitch,2,0.603,0.603,0.0500000000000007,0.429373335872555,0.2,PERMITTED
pitch,3,0.855,0.855,0.0500000000000007,0.307553443081417,0.2,PERMITTED
pitch,4,0.956,0.956,0.0500000000000007,0.200880664160508,0.2,PERMITTED
pitch,5,1.862,1.862,0.0500000000000007,0.212548215216088,0.2,PERMITTED
pitch,6,3.221,3.221,0.0500000000000007,0.300492639713411,0.2,PERMITTED
pitch,7,4.128,4.128,0.0500000000000007,0.243046319031009,0.2,PERMITTED
pitch,8,4.228,4.379,0.201000000000001,0.246015988071719,0.2,PERMITTED
pitch,9,6.04,6.04,0.0500000000000007,0.201913319712418,0.2,PERMITTED
pitch,10,7.901,7.901,0.0500000000000007,0.220209200651624,0.2,PERMITTED
pitch,11,11.675,11.675,0.0500000000000007,0.200588921297879,0.2,PERMITTED
pitch,12,16.558,16.558,0.0500000000000007,0.217993059693242,0.2,PERMITTED
pitch,13,17.312,17.312,0.0500000000000007,0.201360143856306,0.2,PERMITTED
pitch,14,24.258,24.258,0.0500000000000007,0.201270277164156,0.2,PERMITTED
pitch,15,25.163,25.314,0.201000000000001,1.13784314073925,0.2,PERMITTED
pitch,16,25.414,25.465,0.100999999999999,1.44474533287649,0.2,PERMITTED
yaw,1,0.704,0.704,0.0500000000000007,0.235282606871323,0.2,PERMITTED
yaw,2,0.956,0.956,0.0500000000000007,0.223138789824958,0.2,PERMITTED
yaw,3,25.264,25.364,0.150000000000002,1.5166362959944,0.2,PERMITTED
