time (s),yaw,pitch,roll,battery,altitude (m),loop rate (Hz),target altitude (m)
0.0,-22.976599373907586,-0.568636771913252,-0.10628706841766235,56,0.11149536371557028,298.44200939234383,0.0
0.05,-22.976906982087595,-0.5432290459717638,-0.09820975521422427,56,0.10321885472879996,298.44200939234383,0.0
0.101,-22.976232612065377,-0.5496535367151641,-0.08952115792749477,56,0.09830610447041076,298.44200939234383,0.0
0.152,-22.972143431313622,-0.5622357079291648,-0.09619918092206542,56,0.07884130523761948,298.44200939234383,0.008333333333333333
0.202,-22.985709301339067,-0.4678305252713649,-0.08316268908091423,56,0.06990351052210642,298.44200939234383,0.02
0.255,-22.94411281028898,-0.47421092879888543,-0.09218474458894704,56,0.08244452728525126,298.44200939234383,0.03333333333333333
0.309,-22.87360556507775,-0.6176276777991253,0.10126190191111818,56,0.08850780432543454,298.44200939234383,0.04583333333333334
0.359,-22.718002237660297,-0.3580748025062779,-0.014858621171015817,56,0.0905784959627379,299.2938490081347,0.05916666666666667
0.412,-22.453448703262666,-0.3894479844637757,-0.0768704960406394,56,0.09034084364848656,299.2938490081347,0.07166666666666667
0.463,-22.289030710278322,-0.23573762975815651,-0.24247606483370138,56,0.08703026800088431,299.2938490081347,0.085
0.517,-22.375341199751233,-0.01079370279912598,-0.23333460330294728,56,0.08879946058842031,299.2938490081347,0.09583333333333334
0.571,-22.727975128912814,0.16107472761392022,-0.15476906312042266,56,0.08958743319691555,299.2938490081347,0.10833333333333334
0.622,-23.11505504241847,-0.07840608432380121,-0.15075522024871219,56,0.09009588934015361,299.2938490081347,0.12083333333333333
0.675,-23.667877653742263,-0.3241890040691616,-0.10350505656882616,56,0.08468377455255824,299.2938490081347,0.1325
0.732,-23.975309104995514,-0.21880678139363452,-0.03936614776197568,56,0.08634185915771127,299.2938490081347,0.14416666666666667
0.783,-24.325198630120326,-0.17920798734994686,0.3267474074045239,56,0.08032406006703126,299.2938490081347,0.1575
0.834,-24.469322437358183,-0.319414783929979,0.6269745285948504,56,0.08323113762392256,299.2938490081347,0.17
0.884,-24.65750105965321,-0.37886063095000416,0.2961192760944192,56,0.08494349357906965,299.2938490081347,0.18083333333333335
0.938,-24.78726945330754,-0.12400151440084113,0.34901962864727815,56,0.08125793532632737,298.4207755247243,0.19416666666666668
0.992,-24.843916269360953,-0.12305177651597755,0.1763970067715055,56,0.08726864532006523,298.4207755247243,0.2066666666666667
1.044,-24.72665311479124,-0.08121948984292233,1.3088503777735025,56,0.09170926535680167,298.4207755247243,0.21750000000000003
1.096,-24.58663251790076,-0.16989084049786649,0.43515707694699685,56,0.08790115125590373,298.4207755247243,0.23083333333333333
1.146,-24.531043704492102,0.08598562141574871,0.9643505963780626,56,0.08352072852451636,298.4207755247243,0.24166666666666667
1.201,-24.433120701410015,0.12329730248397597,1.1399987717716773,56,0.0896471887854184,298.4207755247243,0.255
1.253,-24.425564405523854,0.0310814603600076,0.8027490444716905,56,0.09162968335516049,298.4207755247243,0.26833333333333337
1.303,-24.267177825695978,0.23347327980928956,1.0594541294575612,56,0.09304127654609168,298.4207755247243,0.2791666666666667
1.353,-23.882617334346268,0.09385771629004601,0.4482998187642544,56,0.09862985069674556,298.4207755247243,0.2916666666666667
1.404,-23.500707932180944,0.06135341952189587,0.7129837290204135,56,0.10185146465192278,298.4207755247243,0.3041666666666667
1.454,-23.242808430272255,0.24549011571962978,0.7338352889913978,56,0.09730786820330246,298.95253029223096,0.3166666666666667
1.505,-22.99956408326262,0.18442603419357506,0.5866698155796658,56,0.09892181579159942,298.95253029223096,0.32916666666666666
1.559,-22.682026138404815,-0.21611082985331517,1.0524603805824384,56,0.10805400477671566,298.95253029223096,0.3408333333333334
1.61,-22.344456390549574,-0.20654200042896442,0.9087768492357732,56,0.11092417008982136,298.95253029223096,0.3541666666666667
1.665,-22.120878690652493,-0.13253208157275093,0.7479263358444285,56,0.11045660821002067,298.95253029223096,0.36583333333333334
1.718,-21.85770664379072,-0.12127098770279016,0.9181159607804357,56,0.12578009000789075,298.95253029223096,0.3791666666666667
1.768,-21.70116357835684,-0.2605681602425878,0.755520286243276,56,0.1373097076949184,298.95253029223096,0.39
1.819,-21.65981046612458,-0.4241940324899202,0.7707905323168963,56,0.1476680015231272,298.95253029223096,0.4033333333333334
1.869,-21.700137193951004,-0.4885941872930202,0.8202991366052771,56,0.15660364893241988,298.95253029223096,0.4141666666666667
1.919,-21.769317279757978,-0.4135436742590987,0.744850875494857,56,0.17053552266074867,298.95253029223096,0.42583333333333334
1.971,-21.874838170209802,-0.42239068013737885,0.7477911793816545,56,0.18095777851801453,292.4694233317063,0.43833333333333335
2.026,-22.032214937677242,-0.42628691034230376,0.7005920075737954,56,0.1924086259545507,292.4694233317063,0.4525
2.083,-22.139730216145114,-0.41569867050698855,0.6529796512781139,56,0.20079007458469916,292.4694233317063,0.4633333333333334
2.136,-22.23822238652311,-0.4796132773202353,0.6606370646905559,56,0.214042655782311,292.4694233317063,0.4758333333333334
2.19,-22.3382887068005,-0.5511431836794568,0.6840848211368368,56,0.2188306574246055,292.4694233317063,0.4891666666666667
2.244,-22.433440706866254,-0.6408087661825989,0.6967780880881939,56,0.21870103793356988,292.4694233317063,0.5025000000000001
2.298,-22.53813034527692,-0.7080058015107403,0.63962735462934,56,0.23552213761633436,292.4694233317063,0.515
2.351,-22.686084293090367,-0.6026098165598432,0.6420304005425883,56,0.2623276832755056,292.4694233317063,0.5283333333333333
2.402,-22.866910327184673,-0.6189856716736221,0.7057801789279113,56,0.2798253679814354,292.4694233317063,0.5391666666666667
2.456,-22.99273587948473,-0.650226833271659,0.6470272314285598,56,0.30434856705090446,292.4694233317063,0.5525
2.506,-23.1282827903831,-0.6813507706752717,0.6299509237870993,56,0.32518113627434264,299.5931428571429,0.5650000000000001
2.556,-23.24766812689554,-0.7832445296149094,0.6524106797977169,56,0.3380997419136832,299.5931428571429,0.5775
