time (s),yaw,pitch,roll,battery,x reading (m),y reading (m),z reading(m),altitude (m),loop rate (Hz),target altitude (m)
0.0,-14.810194787342137,4.239090257446187,-0.05211847447888053,60,0.9321500062942505,1.0552154779434204,0.9317091703414917,0.9354590960074944,107.23829003886276,0.0
0.051,-14.806940272737126,4.406874504901403,0.030377537631086925,60,0.9391037821769714,1.0477226972579956,0.9339286088943481,0.9342134334108636,107.23829003886276,0.0
0.102,-14.806336206437198,4.268907879544878,0.012496100191752988,60,0.9331691265106201,1.0468498468399048,0.9303215146064758,0.932491585046617,107.23829003886276,0.0
0.153,-14.808542121554037,4.279552260684727,-0.022294926919618402,60,0.9367594718933105,1.046156883239746,0.9321693778038025,0.9323498815953574,285.4238856753998,0.0
0.203,-14.808666631914983,4.2364287520851365,0.12364328540368753,60,0.9378479719161987,1.0437840223312378,0.9269973039627075,0.929627209542391,285.4238856753998,0.0
0.253,-14.806155653632588,4.207890579699279,-0.10964466084662161,60,0.9386173486709595,1.045823097229004,0.9256301522254944,0.9280167431996824,285.4238856753998,0.0
0.305,-14.80938231549613,4.333049581660862,-0.05699268728983693,60,0.9408296346664429,1.0451087951660156,0.9317288398742676,0.9299159448251967,285.4238856753998,0.0
0.355,-14.811509767653495,4.241358101736491,0.016473953261045303,60,0.9371759295463562,1.051236867904663,0.9300427436828613,0.9299417109627688,285.4238856753998,0.0
0.406,-14.810531352477172,4.301840626176854,0.003065494360616468,60,0.9326149225234985,1.05208420753479,0.9311739802360535,0.9303320269873154,285.4238856753998,0.0
0.456,-14.81115848783661,4.348572055849516,-0.06760807816311958,60,0.9318103194236755,1.0503195524215698,0.9245293736457825,0.9279093913717973,285.4238856753998,0.0
0.506,-14.810750782744572,4.48930449859968,0.025703225550908683,60,0.9306861162185669,1.0516602993011475,0.9237262010574341,0.9258584877204299,285.4238856753998,0.0
0.561,-14.810633105464248,4.322708862917144,0.16388986698251282,60,0.936180591583252,1.046645998954773,0.9273712038993835,0.9256444607055055,285.4238856753998,0.0
0.612,-14.810869884731616,4.283600883185512,0.027355377808130417,60,0.9288138151168823,1.0501428842544556,0.9227891564369202,0.9250136108501417,285.4238856753998,0.0
0.662,-14.81309621326746,4.3124309986410285,-0.07987195819543687,60,0.9283385276794434,1.046130895614624,0.9216229915618896,0.9232086804288409,285.4238856753998,0.0
0.713,-14.816897571729015,4.163318370730502,0.0688580557424171,60,0.9311197400093079,1.0457594394683838,0.9265531897544861,0.924030794843605,285.4238856753998,0.0
0.763,-14.818469103711259,4.386081527808929,-0.0037518127347281618,60,0.9399317502975464,1.047899842262268,0.9288843274116516,0.9264091313490914,234.38412964515229,0.0
0.813,-14.816948567853183,4.189962534923821,0.022778629593985987,60,0.9359214305877686,1.0471038818359375,0.9312819838523865,0.9283167991146503,234.38412964515229,0.0
0.864,-14.817047087446367,4.172161400326322,0.008735759082424617,60,0.9417554140090942,1.0485275983810425,0.9302443265914917,0.9295016433104131,234.38412964515229,0.0
0.915,-14.816722820823134,4.388716351569757,-0.22656785192135728,60,0.9337525367736816,1.0473653078079224,0.9357994794845581,0.9319365093337264,234.38412964515229,0.0
0.966,-14.815176464557615,4.368205566428795,-0.05093066401641592,60,0.9414756298065186,1.0498898029327393,0.9426223635673523,0.9369245007953318,234.38412964515229,0.0
1.016,-14.814692945100864,4.384950283805803,-0.06527322466908232,60,0.9333876967430115,1.0479456186294556,0.9452617168426514,0.9415624840437687,234.38412964515229,0.0
1.066,-14.813775948704963,4.401625798544056,0.058399343073671846,60,0.931243896484375,1.044800877571106,0.9461495280265808,0.9438570503573916,234.38412964515229,0.0
1.118,-14.813471904818984,4.169547296218123,-0.04293228613867587,60,0.9334041476249695,1.0503102540969849,0.9495575428009033,0.9461325526785228,234.38412964515229,0.0
1.169,-14.814125400218755,4.321911457372775,0.130567804813091,60,0.9385296106338501,1.0538948774337769,0.9488709568977356,0.9489962490478954,234.38412964515229,0.0
1.219,-14.815961586346985,4.243268521575756,-0.08715013775252707,60,0.9360471367835999,1.0594061613082886,0.9446320533752441,0.9470359761252354,234.38412964515229,0.0
1.27,-14.814384969508593,4.3388743837040185,0.04971456257772585,60,0.9365943670272827,1.0622016191482544,0.9409772157669067,0.9443648966521275,234.38412964515229,0.0
1.32,-14.816081324086863,4.404835648766179,-0.09550308953071197,60,0.9346449375152588,1.0627195835113525,0.9363818168640137,0.9408179629420724,234.38412964515229,0.0
1.371,-14.816349990344426,4.3304991494621605,-0.1712797209255099,60,0.9274566173553467,1.0558511018753052,0.9404352903366089,0.9397658815527214,285.24918389553864,0.0
1.421,-14.816206396767404,4.2997126628956455,-0.03885574360128399,60,0.9264110922813416,1.0563228130340576,0.9357538223266602,0.9379549372158528,285.24918389553864,0.0
1.472,-14.81451225401566,4.179378054134395,-0.11335542666224023,60,0.9275041222572327,1.0507806539535522,0.9343100190162659,0.9361973981059766,285.24918389553864,0.0
1.522,-14.81392840512069,4.17125359406563,-0.03565807523705923,60,0.932941734790802,1.0488245487213135,0.934374213218689,0.9355330009506277,285.24918389553864,0.0
1.572,-14.816432587120612,4.300784806793932,-0.07959519918402554,60,0.9307103753089905,1.0483646392822266,0.9288856387138367,0.9329195135316158,285.24918389553864,0.0
1.624,-14.816051250426176,4.419835874058809,-0.15391068560264234,60,0.9317370653152466,1.0451390743255615,0.9315187335014343,0.9312184400146184,285.24918389553864,0.0
1.675,-14.81563787315632,4.299655571569104,-0.005973601474254233,60,0.9327077865600586,1.045539379119873,0.9283801317214966,0.929961675169433,285.24918389553864,0.0
1.726,-14.815691012959746,4.173444373279759,-0.0967718771755573,60,0.9333668947219849,1.045127511024475,0.929507315158844,0.9296019827165514,285.24918389553864,0.0
1.777,-14.81581282528389,4.382010254303527,-0.028990253455849078,60,0.9323373436927795,1.0417916774749756,0.9327197074890137,0.9313324589481896,285.24918389553864,0.0
1.827,-14.815805705362896,4.34535784299975,0.12730398306246796,60,0.9351292848587036,1.039326548576355,0.9345759749412537,0.932784899731326,285.24918389553864,0.0
1.881,-14.816955866776427,4.267454960371916,-0.06863685741118336,60,0.9315903186798096,1.0384103059768677,0.9343951940536499,0.9336811902604104,285.24918389553864,0.0
1.932,-14.81491607347992,4.236066725549542,-0.10252337842312745,60,0.9315392971038818,1.0333619117736816,0.932174563407898,0.9328749048245426,288.3475869654888,0.0
1.985,-14.814855752200947,4.295334432954524,0.03893045053229017,60,0.9383872747421265,1.0357416868209839,0.9335838556289673,0.9331707890482877,288.3475869654888,0.0
2.035,-14.814152451551198,4.195542475177911,0.05302464484202563,60,0.9434911608695984,1.03662109375,0.9370725750923157,0.9350252015564877,288.3475869654888,0.0
2.085,-14.813810014792223,4.264873149931094,-0.029877308579677547,60,0.9411155581474304,1.0343408584594727,0.9381308555603027,0.9366582639629676,288.3475869654888,0.0
2.136,-14.812169346621728,4.2505367966585395,-0.11688385492722211,60,0.946069061756134,1.0404198169708252,0.9384250640869141,0.9377276923685958,288.3475869654888,0.0
2.187,-14.813073511489883,4.3191327479739385,0.022330600853446528,60,0.9462146759033203,1.034775733947754,0.9394282102584839,0.9381134923099383,288.3475869654888,0.0
2.237,-14.815893697166716,4.243143792367315,0.08618613683800966,60,0.9430010318756104,1.0292812585830688,0.9459632039070129,0.9414006647013646,288.3475869654888,0.0
2.289,-14.815531607610101,4.203532806077492,-0.028012684792499735,60,0.9430091977119446,1.031656265258789,0.9400290846824646,0.9413384199641812,288.3475869654888,0.0
2.339,-14.817761898335647,4.238369343609597,0.011347974482828583,60,0.9451737999916077,1.0319699048995972,0.9400998950004578,0.9409699253272192,288.3475869654888,0.0
2.39,-14.818464297068314,4.243617565731064,-0.04627825708556452,60,0.947361171245575,1.032023549079895,0.9435057640075684,0.9423742105763773,288.3475869654888,0.0
2.44,-14.818139122856897,4.206409339675147,-0.03986913151544687,60,0.9427914023399353,1.0364803075790405,0.9383512735366821,0.9399824289056937,288.3475869654888,0.0
2.49,-14.818388081335366,4.280727288617432,-0.13436903242656575,60,0.9389312863349915,1.0378581285476685,0.934485912322998,0.9380286711361056,283.85923118570656,0.0
2.541,-14.817575062214297,4.085736013074261,-0.039209459116853425,60,0.9449717998504639,1.040320873260498,0.9368658661842346,0.9366542920680706,283.85923118570656,0.0
2.591,-14.82083701555701,4.382469938847718,0.007282861569137919,60,0.9383319020271301,1.0430729389190674,0.934582531452179,0.9357022009590669,283.85923118570656,0.0
2.642,-14.823593715784657,4.27057905360787,0.02967817108751667,60,0.9348050355911255,1.0401098728179932,0.9301149845123291,0.9328244230352025,283.85923118570656,0.0
