time (s),yaw,pitch,roll,battery,acc_x,acc_y,acc_z,gyro_roll,gyro_pitch,gyro_yaw,x (m),y (m),altitude (m),loop rate (Hz),target altitude (m)
0.0,-0.001960758990790593,-0.3312269541554602,0.09771279285494919,56,0.0035566899459809065,0.0007885757368057966,0.9979696869850159,-0.1492931927680969,-0.06403630431890488,0.07319840043783188,-62.733295740761335,17.814659438616015,0.0,285.7544624608257,0.0
0.05,0.0007443114449426312,-0.34579006873885987,0.08895426637143329,56,0.0066765123046934605,0.002864707028493285,0.9975069165229797,0.1677873347759247,0.002178748881816864,0.09754914045333862,-62.84210359512515,17.830155771539953,0.0,288.68497487783054,0.0
0.101,0.00011809207732104527,-0.327785694603674,0.16952616378191324,56,0.005798663478344679,0.004180889576673508,0.9998416304588318,0.2597369466781616,-0.02408423107266426,-0.1700584888458252,-63.00543305031887,17.85345109366252,0.0,288.68497487783054,0.0
0.151,-0.0035740524680175256,-0.32445237608704186,0.18975336881381155,56,0.004798677749931812,0.0027239592745900154,0.9968882203102112,-0.024086401903629304,-0.18559941854476927,-0.0681561529636383,-63.11439946285364,17.86902095583096,0.0,288.68497487783054,0.0
0.202,-0.00575514016364322,-0.30537776836480457,0.18242724962469156,56,0.004786778707057238,0.0038498840294778347,0.9984834790229797,0.2658623372077942,-0.037847599202394486,0.06548723578453064,-63.277970176375234,17.892445624832675,0.0,288.68497487783054,0.0
0.252,-0.007519502557420711,-0.31400216581507384,0.1584692046172498,56,0.007739162538200617,0.004854382015764713,1.0017404556274414,0.04782782018780708,-0.0054344308577477934,-0.13979579508304596,-63.38709978899901,17.908110516660173,0.0,288.68497487783054,0.0
0.302,-0.006549460189182193,-0.3401245702535879,0.20219634727144484,56,0.004943417850881815,0.003284251783043146,0.9945608377456665,-0.16843193128108977,0.09292204473018646,-0.030262311920523643,-63.55092066116732,17.9316837559492,0.0,288.68497487783054,0.0
0.352,-0.003951986405981851,-0.31428118374839414,0.08841224723151579,56,0.0030699302442371845,0.0005594762624241412,0.9999284148216248,0.062408483481407165,-0.07656455990076065,0.009540009312331676,-63.71488415893671,17.955354805161438,0.0,288.68497487783054,0.0
0.403,-0.0028081704366981156,-0.3150854993268226,0.09875667136322956,56,0.008321468718349934,0.002147455234080553,0.9984334707260132,-0.19467536463737486,0.21676610205173494,-0.13487029075622559,-63.824274689062285,17.971181883339963,0.0,288.68497487783054,0.0
0.453,-0.005182631377641689,-0.31620808393821803,0.16458254226012523,56,0.007969263941049576,0.00230872118845582,0.9981629252433777,-0.05540634050369263,-0.23314972426891326,0.14235767722129822,-63.98848139893651,17.994987385141993,0.0,288.68497487783054,0.0
0.504,-0.002911947343589532,-0.29197400928363604,0.06081955457618475,56,0.0035641007125377655,-0.0002942402788903564,0.9967508912086487,0.057927048659324645,0.09965798053741455,-0.04518914967775345,-64.09803410792077,18.010904422430613,0.0,288.68497487783054,0.0
0.554,-0.0017973283728631015,-0.30742079676729517,0.08518744625683886,56,0.005803282372653484,0.004024618770927191,0.9993763566017151,0.05141010031700134,-0.13002597000598906,0.054098695516586304,-64.20765297723098,18.02685320033021,0.0,288.68497487783054,0.0
0.605,-0.005057303346645589,-0.302794774668643,0.12564975149070645,56,0.005907322745770216,0.003393675899133086,0.9967501163482666,-0.1983783180952072,0.06175918672084808,-0.04988603666424751,-64.37221075758247,18.05083101639618,0.0,285.4044637996734,0.0
0.655,-0.008935055270877174,-0.32104448432981214,0.13376915878544912,56,0.005656509194523096,0.0013563809916377068,0.9990981221199036,0.0032402858011424543,-0.1882028004169464,0.2011558711528778,-64.53691971903825,18.07488291712509,0.0,285.4044637996734,0.0
0.705,-0.002960289648203473,-0.273152545988944,0.11150376789710778,56,0.004940692335367203,0.00302886008284986,0.9990382790565491,-0.3137491728305817,0.14213686976432802,0.16776232421398163,-64.6468093208229,18.090961789753678,0.0,285.4044637996734,0.0
0.756,-0.002274169687334439,-0.2848715422023463,0.17684134962156411,56,0.004734024405479431,0.003668532706797123,0.9996477961540222,-0.004026810424262658,0.008490190653502941,0.12874819338321686,-64.8117766006143,18.115146433030034,0.0,285.4044637996734,0.0
0.807,-0.0020517876573116407,-0.2721435655815993,0.1265651559031724,56,0.00538161676377058,0.0008244518539868295,0.9985891580581665,0.08735881642103195,0.008901996350288391,0.017351556569337845,-64.9218448963329,18.131319008701276,0.0,285.4044637996734,0.0
0.857,0.0005273280455368279,-0.300384698707333,0.11954589289332233,56,0.0068578035570681095,0.0020309374667704105,0.9988452196121216,-0.23016487910747527,0.006543528100848198,0.007704895921051502,-65.08708364619703,18.155651403615973,0.0,285.4044637996734,0.0
0.908,0.0024695766145307473,-0.26513345118844733,0.15247346273070222,56,0.00517043424770236,0.00289670517668128,0.9976059198379517,-0.20707840576171874,0.03306796941757202,0.04244334623217583,-65.19733201291723,18.171919974975804,0.0,285.4044637996734,0.0
0.958,-0.0017111207623505577,-0.34246659305216876,0.07163577718071774,56,0.007366337347775698,0.0003121480403933674,0.9973105192184448,-0.13906579568386077,0.08094879779815674,-0.10053608566522598,-65.3628411426225,18.196395727372156,0.0,285.4044637996734,0.0
1.009,0.00017830500778098942,-0.30598229506841584,0.14768692277570636,56,0.004869322292506695,0.0019605369307100773,0.9964857697486877,0.2656828080177307,0.2439224550485611,0.17589455842971802,-65.47326668903655,18.21275754159877,0.0,285.4044637996734,0.0
1.059,0.0028865958926563803,-0.3250564043256642,0.181073050158586,56,0.004985010251402855,0.0058052996173501015,0.9982531666755676,-0.3289732123851776,0.056585850006341934,-0.3033972680568695,-65.63903013239586,18.23737152411602,0.0,285.4044637996734,0.0
1.109,-0.005662345959463162,-0.31125504737834825,0.12204146582905787,56,0.0021951005328446627,-0.00040636141784489155,0.9988637566566467,-0.05146038263440132,0.017811808547377586,-0.061064038425683975,-65.74961892105944,18.253831909240404,0.0,285.4044637996734,0.0
1.16,-0.008586085603108778,-0.2999916167537551,0.0755128319502781,56,0.0032418668270111084,0.0005275178700685501,1.0005908012390137,-0.15053359522819518,-0.06516599487662315,-0.2802107036113739,-65.91562080420876,18.27859564087311,0.0,252.34967811804344,0.0
1.21,-0.00932104951791489,-0.26825107364913264,0.10078103068038534,56,0.003727187868207693,0.004190548788756132,1.0000832080841064,0.016921759477257728,-0.20664926078319548,0.1120556890964508,-66.02636924166515,18.295147972998542,0.0,252.34967811804344,0.0
1.261,-0.009739038672832977,-0.2849623784360947,0.09732461650874286,56,0.006637404672801495,-8.054103659560496e-07,0.9947504997253418,0.09193590179681778,-0.004347977416217327,0.1742696464061737,-66.19261738201463,18.32003976955324,0.0,252.34967811804344,0.0
1.311,-0.010323185947367974,-0.29470925591696795,0.10875197352560448,56,0.00592902721837163,0.002886372385546565,0.9966273903846741,-0.2042701776266098,0.03922969270348549,-0.022100143134593964,-66.30353559067751,18.336675667639817,0.0,252.34967811804344,0.0
1.361,-0.010088604948717743,-0.2807742266136985,0.1190337104446811,56,0.006359956692904234,0.001725994050502777,0.9956763386726379,-0.11665599896907806,-0.0052421495333313944,0.17667904496192932,-66.47004139562645,18.361690657849266,0.0,252.34967811804344,0.0
1.412,-0.009906885332238725,-0.26824673771465163,0.11690618976948418,56,0.00320133357308805,0.0016314169624820352,0.9944444894790649,-0.027321740159392358,-0.015514716693758965,0.0663275271654129,-66.63670378803378,18.38678503116926,0.0,252.34967811804344,0.0
1.462,-0.008856854269334446,-0.25026835201569597,0.0951209307638632,56,0.005545531865209341,0.0034359951969236135,0.9988308548927307,-0.3365568603515625,-0.1768544038772583,0.09944773465394974,-66.74790226301657,18.40355857301582,0.0,252.34967811804344,0.0
1.512,-0.007998044092509676,-0.2944171548868346,0.14735603687523177,56,0.0061045074835419655,0.0024137371219694614,0.9983344674110413,0.07533725992441177,0.0702972913146019,-0.1792447715997696,-66.91483688201654,18.42878257834957,0.0,252.34967811804344,0.0
1.566,-0.008949999091119811,-0.30255154398122297,0.05736549267476211,56,0.005126785021275282,4.336877100286074e-05,0.9989444017410278,-0.16254473581314086,-0.19397539105415343,0.0497269444167614,-67.02621478411784,18.445644723144767,0.0,252.34967811804344,0.0
1.617,-0.007934374413164951,-0.31439415867386566,0.1580229008642083,56,0.006053959485143423,0.00303785502910614,0.9997504353523254,0.33935140714645384,0.13979659769535066,0.27714014053344727,-67.19341181530373,18.471004163752994,0.0,252.34967811804344,0.0
1.667,-0.0027590311619486454,-0.2764453642371122,0.1306765578574885,57,0.0032978993840515614,0.0008960544364526868,0.9998041987419128,0.16107798264026643,0.05887683648467064,0.3489472270011902,-67.30496307859947,18.487957154360274,0.0,287.9714383796773,0.0
1.717,0.0010797493523383198,-0.25950586150768895,0.11945422215763225,57,0.004467199090868235,0.00511266989633441,0.9988276362419128,0.30712898716926573,0.2041714021921158,0.17918716371059418,-67.47241833594849,18.513455043431232,0.0,287.9714383796773,0.0
1.768,0.012977876387939485,-0.19432602961762474,0.14237393409210058,57,0.0022606104612350464,0.0046005998738110065,0.9978035688400269,-0.20225761189460753,-0.12821167167425154,0.20182964205741882,-67.58414079134229,18.530496549997885,0.0,287.9714383796773,0.0
1.818,0.2567975256112309,0.06472237320908443,0.4679520843512605,57,-0.00630628177896142,0.0100477896630764,0.9938064813613892,0.06901725277900696,0.016976339554786682,7.520570755004883,-67.75186439114307,18.55613484154975,0.0,287.9714383796773,0.0
1.868,0.9041644725122585,0.1575293635033285,0.5189554888094208,57,0.023889685049653053,0.008635643869638443,0.9997811913490295,0.03939795390367508,-0.1513813754558563,14.959734916687012,-67.86380205428445,18.5733083003467,0.0,287.9714383796773,0.0
1.918,1.2378106468472077,-0.6163899890584924,-0.14517245954375102,57,0.005393222440034151,0.004058058373630047,0.991965651512146,-0.004710780271422118,0.08645216915607452,2.221400499343872,-68.03193705610929,18.599222491155043,0.0,287.9714383796773,0.0
1.969,1.5519644692428147,-0.06319290617031259,0.33519905576319464,57,-0.0014068111777305603,0.004629620350897312,0.9975205659866333,-0.017736391270160676,0.022800605556368828,8.654385566711426,-68.14412195830246,18.616561546379412,0.0,287.9714383796773,0.0
2.019,2.0347604346000177,-0.0648518527287948,-0.04960119940791992,57,-0.0001563328696647659,0.013919039629399776,0.9946073293685913,-0.21808896317481993,-0.19450338389873503,11.506866455078125,-68.31255705308278,18.642673409979786,0.0,287.9714383796773,0.0
2.07,2.7334516008094916,-0.23107199651767554,0.2874763609370628,57,0.009552892297506332,0.018124738708138466,0.9976209402084351,-0.6708149994850159,0.1601769009590149,8.329238891601562,-68.42496556719406,18.660129629503448,0.0,287.9714383796773,0.0
2.12,3.4600900066724356,-0.20325795918420883,0.19506460934681571,57,0.014021506533026695,0.006203345488756895,0.9981476664543152,-0.44063551082611085,0.009085858052968979,12.829001426696777,-68.59377254180563,18.686413279189892,0.0,287.9714383796773,0.0
2.17,4.340416972761887,-0.16427731379592309,0.44242934801982836,57,0.0008555204840376973,0.006506924983114004,0.9938039183616638,0.3395429168701172,0.2754720428943634,18.724700927734375,-68.70644295908733,18.704010218646694,0.0,287.9714383796773,0.0
2.221,5.1983621724390074,-0.24512608489909532,0.3134642377031363,57,0.008676237426698208,-0.013471772894263268,0.9947649836540222,0.41557701573371886,0.2086906710624695,16.088163375854492,-68.87563398747021,18.7305628981692,0.0,284.66838604588025,0.0
2.271,5.807391291273273,-0.3674378282044169,-0.18000941371639553,57,-0.0037364433519542217,0.011792952194809914,0.9982888698577881,0.13656885073184968,0.32481834087371825,9.193171501159668,-69.04501298135175,18.757308051180857,0.0,284.66838604588025,0.0
2.322,6.636198085857749,-0.22228536668570445,0.5966397112213577,57,0.007693120278418064,0.00010273048974340782,0.9912234544754028,-0.08150842144489288,0.23680406603813173,12.959053993225098,-69.15802405288511,18.775205620433503,0.0,284.66838604588025,0.0
2.372,7.128659683726516,-0.4280506565054562,0.03570092371863516,57,0.009297522716224194,-0.0008446114370599389,0.9984576106071472,0.04256134376525879,0.3232553282737732,6.64995813369751,-69.2711073066347,18.793202508043866,0.0,284.66838604588025,0.0
2.422,8.15480377040137,0.07095924421007202,-0.3162230584707069,56,0.015894580632448196,-0.022431306540966034,0.9914072155952454,0.23120275781154634,-0.6012090763092041,23.227581024169922,-69.44207811635408,18.820553483038204,0.0,284.66838604588025,0.0
2.473,8.950800503921394,-0.12665099071876051,0.46397295044500353,56,-0.006391189061105251,0.045938294380903244,1.002569556236267,0.21835384414196016,0.704710511302948,14.960355758666992,-69.61312754638223,18.848036924597363,0.0,284.66838604588025,0.0
2.523,9.687365563303176,-0.15464020694352598,0.305709800205704,56,0.007522267755120993,-0.003729121759533882,0.9996589422225952,-0.07701543822288513,0.27094006333351134,12.716662406921387,-69.72708727480601,18.86643447093891,0.0,284.66838604588025,0.0
2.573,10.708320592494712,0.10849904118633491,0.16887167979420525,56,0.004424584098160267,0.000491323065944016,0.9971083998680115,0.5125195895195007,0.4617777148246765,26.123228073120117,-69.89799296864973,18.894197766061957,0.0,284.66838604588025,0.0
2.624,11.900319441336375,-0.1968614837947775,0.26211316479577296,56,0.009743022732436657,-0.005899444688111544,0.99727863073349,0.5560180459976196,0.039559172278642654,22.957040786743164,-70.01195559162926,18.912820565231367,0.0,284.66838604588025,0.0
2.674,13.112666188108035,-0.13049909494591183,1.206579802970322,56,-0.0017973743379116058,0.047469135373830795,1.0007094144821167,0.10839921132326126,-0.1543968340396881,37.83266830444336,-70.18295366544672,18.9409922787551,0.0,284.66838604588025,0.0
2.724,15.627982543731068,-0.11788216312525421,0.7786497813600939,56,0.0023273732513189316,-0.023835185915231705,1.0000872611999512,0.0915558327794075,-0.020638469794392586,42.85144805908203,-70.2970315583416,18.9600388393288,0.0,284.66838604588025,0.0
2.775,17.560656014846703,-0.3472748599230157,-0.14213493276334516,56,0.0077126845717430115,-0.010000416077673435,0.9970791339874268,0.3219835673332214,-0.20041987504959105,36.61646270751953,-70.46830303945119,18.989088722833667,0.0,284.97785025139285,0.0
2.825,19.14872158818678,-0.26193211819155154,-1.2308318344238562,56,0.0032049098517745733,-0.050587695091962814,0.994336724281311,0.31123383984565733,0.3322386125087738,21.61067008972168,-70.58255026520452,19.00869659874768,0.0,284.97785025139285,0.0
2.878,19.99635226536923,-0.23967336314210427,-0.6527626481870407,56,-0.008946997113525867,-0.00569340493530035,0.9987083673477173,0.377931020116806,-0.14435979928970336,16.929338455200195,-70.69682408636177,19.028413205791416,0.0,284.97785025139285,0.0
2.93,21.865929418860908,-0.030665450654010558,0.18938672097776865,56,0.013238934800028801,-0.00825749896466732,0.9972567558288574,0.12491828844547272,0.16355208847522737,28.252050399780273,-70.86828137344537,19.058160687719813,0.0,284.97785025139285,0.0
2.981,23.208383463910007,-0.1585131682578653,0.8933342597048073,56,-9.658635826781392e-05,0.05440954118967056,0.9873406887054443,-0.15114130928516387,0.20084579083919527,35.3891716003418,-71.0398572201776,19.08820354985101,0.0,284.97785025139285,0.0
3.031,25.10372284385266,-0.14933118083805336,0.1425100475805483,56,0.004855623003095388,-0.019598715007305145,0.9994089603424072,0.052649545377492904,0.4780249277114868,39.164222717285156,-71.21158271995934,19.1186601424185,0.0,284.97785025139285,0.0
3.081,26.75404244200598,-0.39770969280721946,0.6456465220593269,56,0.017053481191396713,0.033479638397693634,0.9954338073730469,0.20230080828666688,0.7557853737831116,34.10402297973633,-71.32615063362545,19.139208718481598,0.0,284.97785025139285,0.0
3.132,28.553306177213457,-0.3489791661647409,-0.553784944141946,56,0.008767466060817242,-0.02813299559056759,0.993466317653656,0.5542427812576294,-0.4058419188499451,27.826114654541016,-71.44078093619275,19.159975350508176,0.0,284.97785025139285,0.0
3.184,29.978638050946916,-0.19654785608348943,0.4895765460792037,56,-0.007007461506873369,0.005615917965769768,0.9955230355262756,0.3081138943195343,0.6458816805839539,31.460201263427734,-71.6128205936742,19.191501692076063,0.0,284.97785025139285,0.0
3.234,31.458710845205097,-0.2700048098561943,0.28039803136945646,56,-0.002159691648557782,0.039932142943143845,0.9952262043952942,-0.04429561748504639,-0.17375156488418578,40.606502532958984,-71.7849761070956,19.223537361921696,0.0,284.97785025139285,0.0
3.284,34.447669578057635,0.09656651346770202,-0.41473928949958305,56,-0.0010862788185477257,-0.030604487285017967,0.9962698817253113,-0.5258007134437561,-0.46626898851394655,46.481956481933594,-71.89982535847942,19.245222719558413,0.0,286.02727768685213,0.0
